"","journal","xml_url","html_url"
"1","Annual Reviews of Neuroscience","https://www.annualreviews.org/action/showFeed?ui=45mu4&mi=3fndc3&ai=s2&jc=neuro&type=etoc&feed=atom","https://www.annualreviews.org/loi/neuro?ai=s2&mi=3fndc3&af=A"
"2","Biology Letters","https://royalsocietypublishing.org/action/showFeed?type=etoc&feed=rss&jc=rsbl","https://royalsocietypublishing.org/loi/rsbl?af=R"
"3","Current Biology","https://www.cell.com/current-biology/inpress.rss","https://www.cell.com/archive?publicationCode=curbio&rss=yes"
"4","eLife: Ecology","https://elifesciences.org/rss/subject/ecology.xml","https://elifesciences.org/"
"5","eLife: Neuroscience","https://elifesciences.org/rss/subject/neuroscience.xml","https://elifesciences.org/"
"6","Nature","http://feeds.nature.com/nature/rss/current?x=1","http://feeds.nature.com/nature/rss/current"
"7","Nature Neuroscience","https://www.nature.com/neuro.rss","http://feeds.nature.com/neuro/rss/current"
"8","Nature Reviews Neuroscience","https://www.nature.com/nrn.rss","http://feeds.nature.com/nrn/rss/current"
"9","Neuron","https://www.cell.com/neuron/inpress.rss","https://www.cell.com/archive?publicationCode=neuron&rss=yes"
"10","Proceedings B","https://royalsocietypublishing.org/action/showFeed?type=etoc&feed=rss&jc=rspb","https://royalsocietypublishing.org/loi/rspb?af=R"
"11","Royal Society Open Science","https://royalsocietypublishing.org/action/showFeed?type=etoc&feed=rss&jc=rsos","https://royalsocietypublishing.org/loi/rsos?af=R"
"12","Science","https://www.science.org/action/showFeed?type=etoc&feed=rss&jc=science","https://www.science.org/loi/science?af=R"
"13","Scandinavian Journal of Medicine and Science in Sports","https://onlinelibrary.wiley.com/feed/16000838/most-recent","https://onlinelibrary.wiley.com/journal/16000838?af=R"
"14","Sports Biomechanics","https://www.tandfonline.com/feed/rss/rspb20","https://www.tandfonline.com/loi/rspb20?af=R"
